CATEGORIA,SUB CATEGORIA,MAQUINA,MEDIDAS (mm),TIPO MEDIDA,PESO (kg),FOB SHANGHAI (USD),SEÑA,COSTO CON IVA,VENT SIN IVA,VENT CON IVA,,URL Ficha PDF,
PLEGADORA,HIDRAULICA CNC (DA53TX),400T/6000mm,6200x2500x3600,Maquina,26000,56750,59587.5,113500,118122.17194570135,130524.99999999999,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,MANUAL,1.5x1300,2100x800x1400,Empaque,400,980,1029,1960,2039.8190045248869,2254,,https://drive.google.com/file/d/1FRG_VvTh-T0b_D0uIWNYJPMhzWXZuTEy/view?usp=drive_link,PM
PLEGADORA,ELECTRICA,1.5x1300,2100x800x1400,Empaque,400,1480,1554,2960,3080.542986425339,3403.9999999999995,,https://drive.google.com/file/d/1f0dGkEOplItk7yzAL1Si-ZKny4JI6_EX/view?usp=drive_link,PE
PLEGADORA,MANUAL,1.5x1500,2600x800x1300,Empaque,420,1180,1239,2360,2456.108597285068,2714,,https://drive.google.com/file/d/1FRG_VvTh-T0b_D0uIWNYJPMhzWXZuTEy/view?usp=drive_link,
PLEGADORA,ELECTRICA,1.5x1500,2600x800x1300,Empaque,420,1680,1764,3360,3496.83257918552,3863.9999999999995,,https://drive.google.com/file/d/1FRG_VvTh-T0b_D0uIWNYJPMhzWXZuTEy/view?usp=drive_link,
PLEGADORA,MANUAL,1.5x2000,3200x800x1300,Empaque,480,1300,1365,2600,2705.882352941176,2989.9999999999995,,https://drive.google.com/file/d/1FRG_VvTh-T0b_D0uIWNYJPMhzWXZuTEy/view?usp=drive_link,
PLEGADORA,ELECTRICA,1.5x2000,3200x800x1300,Empaque,480,1850,1942.5,3700,3850.6787330316743,4255,,https://drive.google.com/file/d/1f0dGkEOplItk7yzAL1Si-ZKny4JI6_EX/view?usp=drive_link,
PLEGADORA,MANUAL,1.5x2500,3400x800x1300,Empaque,600,1580,1659,3160,3288.6877828054294,3633.9999999999995,,https://drive.google.com/file/d/1FRG_VvTh-T0b_D0uIWNYJPMhzWXZuTEy/view?usp=drive_link,
PLEGADORA,ELECTRICA,1.5x2500,3400x800x1300,Empaque,600,1900,1995,3800,3954.7511312217193,4370,,https://drive.google.com/file/d/1f0dGkEOplItk7yzAL1Si-ZKny4JI6_EX/view?usp=drive_link,
PLEGADORA,ELECTRICA,2x2500,3400x780x1300,Empaque,620,2700,2835,5400,5619.909502262442,6209.999999999999,,https://drive.google.com/file/d/1f0dGkEOplItk7yzAL1Si-ZKny4JI6_EX/view?usp=drive_link,
PLEGADORA,MANUAL,1.0x3000,3800x800x1400,Empaque,660,2000,2100,4000,4162.89592760181,4600,,https://drive.google.com/file/d/1FRG_VvTh-T0b_D0uIWNYJPMhzWXZuTEy/view?usp=drive_link,
PLEGADORA,MANUAL,0.6x4000,4800x900x1400,Empaque,780,2650,2782.5,5300,5515.837104072398,6094.999999999999,,https://drive.google.com/file/d/1FRG_VvTh-T0b_D0uIWNYJPMhzWXZuTEy/view?usp=drive_link,
GUILLOTINA,HIDRAULICA SWING BEAM,4x2500,3100x1600x1950,Maquina,3100,5400,5670,10800,11239.819004524885,12419.999999999998,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,4x2500,3100x1600x1950,Maquina,3100,5780,6069,11560,12030.769230769229,13293.999999999998,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA SWING BEAM,4x3200,3800x1600x1950,Maquina,4300,7180,7539,14360,14944.796380090498,16514,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
